,bic,isin,kurz,min,max,Negativní scéná? (r?stová míra %),Neutrální scéná? (r?stová míra %),Pozitivní scéná? (r?stová míra %)
"HB REAVIS 4,85/25",BDAHBREB,CZ0003528911,100,100,100,-0.67,1.78,2.06
"ST.DLUHOP. 6,00/26",BHVSTDL,CZ0001006506,103.57,103.57,103.57,-0.38,1.69,1.88
"HZL HVB 5,00/25",BDFVERBA,CZ0002000680,113,113,113,1.88,2.39,2.50
"?SNF SICAV 8,10/26",BDDBOHRE,CZ0003707689,101.04,101.04,101.04,1.11,0.11,0.81
"HZL MONETA 4,97/26",BDLGECBA,CZ0002009012,100,100,100,-2.33,-1.74,-0.87
"BABI?KIN D.5,75/25",BDABABDV,CZ0003532590,101.53,101.53,101.53,-1.63,-1.26,-2.08
"HZL MONETA 4,83/27",BDMGECBA,CZ0002009020,100,100,100,-1.03,-0.69,-2.47
"ST.DLUHOP. 1,50/40",BGYSTDL,CZ0001005920,95.93,95.93,95.93,-1.31,-0.40,-1.91
"ST.DLUHOP. 4,85/57",BCESTDL,CZ0001002059,100,100,100,2.35,-1.11,-2.45
"ST.DLUHOP. 1,95/37",BHPSTDL,CZ0001006316,100,100,100,1.61,2.10,1.31
